Designator,Mid X,Mid Y,Rotation,Layer
C1,75.97,-41.1,0.0,Bottom
C10,77.55,-49.3,270.0,Top
C11,74.35,-49.3,270.0,Top
C12,79.15,-49.3,270.0,Top
C13,75.95,-49.3,270.0,Top
C14,72.75,-49.3,270.0,Top
C15,71.15,-49.3,270.0,Top
C16,71.15,-46.15,90.0,Top
C17,74.35,-46.15,90.0,Top
C18,77.55,-46.15,90.0,Top
C19,72.75,-46.15,90.0,Top
C2,71.15,-52.5,90.0,Top
C20,75.95,-46.15,90.0,Top
C21,79.15,-46.15,90.0,Top
C22,80.75,-46.15,90.0,Top
C23,80.75,-43.0,270.0,Top
C24,77.55,-43.0,270.0,Top
C25,74.35,-43.0,270.0,Top
C26,79.15,-43.0,270.0,Top
C27,75.95,-43.0,270.0,Top
C28,72.75,-43.0,270.0,Top
C29,71.15,-43.0,270.0,Top
C3,74.35,-52.5,90.0,Top
C31,74.35,-39.85,90.0,Top
C32,87.160832,-54.980354,0.0,Bottom
C33,87.160534,-46.893841,0.0,Bottom
C34,64.895,-49.5,180.0,Bottom
C35,64.88906,-41.380549,180.0,Bottom
C36,88.985832,-54.980354,0.0,Bottom
C37,88.985534,-46.893841,0.0,Bottom
C38,63.07,-49.5,180.0,Bottom
C39,63.06406,-41.380549,180.0,Bottom
C4,77.55,-52.5,90.0,Top
C40,77.55,-39.85,90.0,Top
C41,72.75,-39.85,90.0,Top
C42,75.97,-42.045,0.0,Bottom
C43,75.5,-47.0,90.0,Bottom
C44,78.69,-41.46,0.0,Bottom
C45,84.899772,-41.749111,90.0,Bottom
C46,78.69,-43.61,0.0,Bottom
C47,75.95,-39.85,90.0,Top
C48,78.719892,-49.385903,0.0,Bottom
C49,84.90007,-49.835624,90.0,Bottom
C5,72.75,-52.5,90.0,Top
C50,78.719892,-51.535903,0.0,Bottom
C51,79.15,-39.85,90.0,Top
C53,85.310832,-54.980354,0.0,Bottom
C57,88.0,-41.15,180.0,Bottom
C59,85.310534,-46.893841,0.0,Bottom
C6,75.95,-52.5,90.0,Top
C63,63.95,-55.25,0.0,Bottom
C64,73.33594,-55.094451,180.0,Bottom
C65,67.155762,-54.64473,270.0,Bottom
C66,73.33594,-52.944451,180.0,Bottom
C69,78.7,-53.0,180.0,Bottom
C7,79.15,-52.5,90.0,Top
C70,77.6,-44.45,90.0,Bottom
C71,74.35,-43.05,270.0,Bottom
C72,74.4,-53.3,270.0,Bottom
C73,66.745,-49.5,180.0,Bottom
C77,87.98,-49.25,180.0,Bottom
C78,73.33,-46.975,180.0,Bottom
C79,67.125,-46.45,270.0,Bottom
C8,80.75,-52.5,90.0,Top
C80,73.33,-44.825,180.0,Bottom
C83,66.73906,-41.380549,180.0,Bottom
C86,75.481611,-49.9942,270.0,Bottom
C88,63.95,-47.05,0.0,Bottom
C9,80.75,-49.3,270.0,Top
C93,75.95,-59.15,0.0,Bottom
C94,73.305,-40.6,0.0,Bottom
FB1,78.695,-42.16,180.0,Bottom
FB2,78.724892,-50.085903,180.0,Bottom
FB3,73.33094,-54.394451,0.0,Bottom
FB4,73.325,-46.275,0.0,Bottom
Q1,79.825,-56.6375,90.0,Top
Q10,87.799582,-46.22439,180.0,Top
Q11,83.899594,-42.774892,90.0,Top
Q12,87.799594,-42.17439,180.0,Top
Q13,72.15,-56.583201,0.0,Top
Q14,70.336386,-60.418971,90.0,Top
Q15,68.154299,-50.074867,270.0,Top
Q16,64.255952,-50.169451,0.0,Top
Q17,68.164097,-53.649975,270.0,Top
Q18,64.25594,-54.219451,0.0,Top
Q19,69.8,-38.95,180.0,Top
Q2,81.514097,-60.462379,270.0,Top
Q20,73.635903,-36.275121,90.0,Top
Q21,68.140202,-42.749892,270.0,Top
Q22,64.250012,-42.05,0.0,Top
Q23,68.15,-46.325,270.0,Top
Q24,64.25,-46.1,0.0,Top
Q3,83.923895,-53.625108,90.0,Top
Q4,87.79988,-54.310903,180.0,Top
Q5,83.914097,-50.05,90.0,Top
Q6,87.799892,-50.260903,180.0,Top
Q7,82.1,-38.979299,180.0,Top
Q8,78.279299,-36.3,270.0,Top
Q9,83.909392,-46.35,90.0,Top
R1,85.375,-47.75,0.0,Bottom
R10,78.69,-40.06,180.0,Bottom
R11,78.69,-40.76,180.0,Bottom
R118,78.7,-53.7,180.0,Bottom
R119,78.68,-54.4,0.0,Bottom
R12,78.69,-39.335,0.0,Bottom
R13,80.149594,-39.09439,270.0,Bottom
R14,80.849594,-39.09439,270.0,Bottom
R15,81.574594,-39.09439,270.0,Bottom
R16,85.375298,-55.836513,0.0,Bottom
R17,89.700298,-55.836513,0.0,Bottom
R18,78.714892,-50.810903,0.0,Bottom
R19,78.719892,-52.260903,0.0,Bottom
R2,89.7,-47.75,0.0,Bottom
R20,77.25,-40.57,270.0,Bottom
R21,86.800298,-55.836513,0.0,Bottom
R22,90.225298,-52.361513,90.0,Bottom
R23,88.255298,-55.836513,0.0,Bottom
R24,90.225298,-50.961513,90.0,Bottom
R25,78.719892,-47.985903,180.0,Bottom
R26,78.719892,-48.685903,180.0,Bottom
R27,78.719892,-47.260903,0.0,Bottom
R28,80.149892,-47.180903,90.0,Bottom
R29,80.849892,-47.180903,270.0,Bottom
R3,78.685,-42.885,0.0,Bottom
R30,81.574892,-47.180903,270.0,Bottom
R31,82.324892,-47.180903,270.0,Bottom
R32,83.049892,-47.180903,270.0,Bottom
R33,83.774892,-47.180903,90.0,Bottom
R34,82.324594,-39.05,270.0,Bottom
R35,83.049594,-39.05,270.0,Bottom
R36,83.774594,-39.05,90.0,Bottom
R37,66.680534,-48.643841,180.0,Bottom
R38,62.355534,-48.643841,180.0,Bottom
R39,73.34094,-53.669451,180.0,Bottom
R4,78.69,-44.335,0.0,Bottom
R40,73.33594,-52.219451,180.0,Bottom
R41,73.3,-42.0,0.0,Bottom
R42,65.255534,-48.643841,180.0,Bottom
R43,61.830534,-52.118841,270.0,Bottom
R44,63.800534,-48.643841,180.0,Bottom
R45,61.830534,-53.518841,270.0,Bottom
R46,73.33594,-56.494451,0.0,Bottom
R47,73.33594,-55.794451,0.0,Bottom
R48,73.33594,-57.219451,180.0,Bottom
R49,71.90594,-57.299451,270.0,Bottom
R5,76.2,-40.25,0.0,Bottom
R50,71.20594,-57.299451,270.0,Bottom
R51,70.48094,-57.299451,90.0,Bottom
R52,69.73094,-57.299451,90.0,Bottom
R53,69.00594,-57.35,90.0,Bottom
R54,68.28094,-57.35,270.0,Bottom
R55,66.674594,-40.52439,180.0,Bottom
R56,62.349594,-40.52439,180.0,Bottom
R57,73.335,-45.55,180.0,Bottom
R58,73.33,-44.1,180.0,Bottom
R59,73.3,-41.3,0.0,Bottom
R6,86.8,-47.75,0.0,Bottom
R60,65.249594,-40.52439,180.0,Bottom
R61,61.824594,-43.99939,270.0,Bottom
R62,63.794594,-40.52439,180.0,Bottom
R63,61.824594,-45.39939,270.0,Bottom
R64,73.33,-48.375,0.0,Bottom
R65,73.33,-47.675,0.0,Bottom
R66,73.33,-49.1,180.0,Bottom
R67,71.9,-49.18,270.0,Bottom
R68,71.2,-49.18,90.0,Bottom
R69,70.475,-49.18,90.0,Bottom
R7,90.225,-44.275,90.0,Bottom
R70,69.725,-49.18,90.0,Bottom
R71,69.0,-49.18,90.0,Bottom
R72,68.275,-49.18,270.0,Bottom
R73,73.305,-39.9,180.0,Bottom
R8,88.255,-47.75,0.0,Bottom
R9,90.225,-42.875,90.0,Bottom
RSENSE1,76.0,-58.35,90.0,Top
U1,75.97,-57.38,180.0,Bottom
U10,70.05,-45.925,90.0,Bottom
U11,64.67453,-44.29986,180.0,Bottom
U14,75.975127,-36.2,180.0,Bottom
U18,76.35,-53.299098,0.0,Bottom
U2,81.999892,-50.435903,270.0,Bottom
U26,75.95,-43.85,270.0,Bottom
U3,87.375362,-52.061043,0.0,Bottom
U4,75.999998,-48.5,0.0,Top
U5,76.981611,-49.9942,270.0,Bottom
U6,81.999594,-42.34939,270.0,Bottom
U7,87.375064,-43.97453,0.0,Bottom
U8,70.05594,-54.044451,90.0,Bottom
U9,64.68047,-52.419311,180.0,Bottom
